INVENTORY_ITEM_ID,SEGMENT1,DESCRIPTION,ITEM_CATEGORY,ITEM_TYPE,PRIMARY_UOM_CODE,ORGANIZATION_ID,ORGANIZATION_CODE,INVENTORY_ITEM_STATUS_CODE,CUSTOMER_ORDER_ENABLED_FLAG,SHIPPABLE_ITEM_FLAG,INVOICE_ENABLED_FLAG
5119,10075041P1,Liebert GXT5 1500VA Online UPS 2U,UPS,FG,Ea,261,MX1,Active,Y,Y,Y
5119,10075041P1,Liebert GXT5 1500VA Online UPS 2U,UPS,FG,Ea,232,USW,Active,Y,Y,Y
5119,10075041P1,Liebert GXT5 1500VA Online UPS 2U,UPS,FG,Ea,231,USM,Active,Y,Y,Y
5119,10075041P1,Liebert GXT5 1500VA Online UPS 2U,UPS,FG,Ea,251,APW,Active,Y,Y,Y
5120,10073978P1,Liebert PSI5 3000VA Line-Interactive UPS 2U,UPS,FG,Ea,251,APW,Active,Y,Y,Y
5120,10073978P1,Liebert PSI5 3000VA Line-Interactive UPS 2U,UPS,FG,Ea,241,EMW,Active,Y,Y,Y
5120,10073978P1,Liebert PSI5 3000VA Line-Interactive UPS 2U,UPS,FG,Ea,261,MX1,Active,Y,Y,Y
5120,10073978P1,Liebert PSI5 3000VA Line-Interactive UPS 2U,UPS,FG,Ea,232,USW,Active,Y,Y,Y
5121,10080072,Liebert GXT5 External Battery Cabinet 144V 2U,Battery,FG,Ea,231,USM,Active,Y,Y,Y
5121,10080072,Liebert GXT5 External Battery Cabinet 144V 2U,Battery,FG,Ea,261,MX1,Active,Y,Y,Y
5121,10080072,Liebert GXT5 External Battery Cabinet 144V 2U,Battery,FG,Ea,241,EMW,Active,Y,Y,Y
