SOURCE_NODE,EDGE_TYPE,TARGET_NODE,ATTRIBUTES
INC0899936,MATCHES_PATTERN,PAT-OBLIG,
INC0899936,CAUSED_BY,RCA-13,
INC0899839,IN_VALUE_STREAM,Item-MDM,
INC0899839,MATCHES_PATTERN,PAT-CCO,
INC0899839,CAUSED_BY,RCA-02,
INC0899839,RECURRENCE_OF,INC0890340,
INC0899788,IN_VALUE_STREAM,Item-MDM,
INC0899788,MATCHES_PATTERN,PAT-CCB-REV,
INC0899788,CAUSED_BY,RCA-03,
INC0899829,IN_VALUE_STREAM,QTD,
INC0899829,MATCHES_PATTERN,PAT-DROPSHIP,
INC0899829,CAUSED_BY,RCA-12,
INC0897635,IN_VALUE_STREAM,Services,
INC0897635,MATCHES_PATTERN,PAT-CONTRACT,
INC0897635,CAUSED_BY,RCA-14,
INC0899325,IN_VALUE_STREAM,Services,
INC0899325,MATCHES_PATTERN,PAT-CONTRACT,
INC0899325,CAUSED_BY,RCA-14,
INC1100370,IN_VALUE_STREAM,Item-MDM,
INC1100370,MATCHES_PATTERN,PAT-CCO,
INC1100370,CAUSED_BY,RCA-02,
INC1100547,IN_VALUE_STREAM,Item-MDM,
INC1100547,MATCHES_PATTERN,PAT-CCO,
INC1100547,CAUSED_BY,RCA-02,
INC1100547,RECURRENCE_OF,INC828785,
INC1100792,IN_VALUE_STREAM,Item-MDM,
INC1100792,MATCHES_PATTERN,PAT-REV-SYNC,
INC1100792,CAUSED_BY,RCA-01,
INC1101063,IN_VALUE_STREAM,Item-MDM,
INC1101063,MATCHES_PATTERN,PAT-CCB-REV,
INC1101063,CAUSED_BY,RCA-03,
INC1101344,IN_VALUE_STREAM,Item-MDM,
INC1101344,MATCHES_PATTERN,PAT-REV-SYNC,
INC1101344,CAUSED_BY,RCA-01,
INC1101356,IN_VALUE_STREAM,Item-MDM,
INC1101356,MATCHES_PATTERN,PAT-REV-SYNC,
INC1101356,CAUSED_BY,RCA-01,
INC1101643,IN_VALUE_STREAM,PTM,
INC1101643,MATCHES_PATTERN,PAT-RCV,
INC1101643,CAUSED_BY,RCA-05,
INC1101694,IN_VALUE_STREAM,Item-MDM,
INC1101694,MATCHES_PATTERN,PAT-REV-SYNC,
INC1101694,CAUSED_BY,RCA-01,
INC1101981,IN_VALUE_STREAM,PTM,
INC1101981,MATCHES_PATTERN,PAT-APPTREE,
INC1101981,CAUSED_BY,RCA-08,
INC1101981,RECURRENCE_OF,INC855461,
INC1102024,IN_VALUE_STREAM,PTC,
INC1102024,MATCHES_PATTERN,PAT-OBLIG,
INC1102024,CAUSED_BY,RCA-13,
INC1102298,IN_VALUE_STREAM,QTD,
INC1102298,MATCHES_PATTERN,PAT-PLANT,
INC1102298,CAUSED_BY,RCA-10,
INC1102298,RECURRENCE_OF,INC843309,
INC1102646,IN_VALUE_STREAM,QTD,
INC1102646,MATCHES_PATTERN,PAT-DROPSHIP,
INC1102646,CAUSED_BY,RCA-12,
INC1102784,IN_VALUE_STREAM,QTD,
INC1102784,MATCHES_PATTERN,PAT-CPQ,
INC1102784,CAUSED_BY,RCA-07,
INC1103071,IN_VALUE_STREAM,PTM,
INC1103071,MATCHES_PATTERN,PAT-PEG,
INC1103071,CAUSED_BY,RCA-09,
INC1103217,IN_VALUE_STREAM,Item-MDM,
INC1103217,MATCHES_PATTERN,PAT-CCO,
INC1103217,CAUSED_BY,RCA-02,
INC1103259,IN_VALUE_STREAM,PTM,
INC1103259,MATCHES_PATTERN,PAT-APPTREE,
INC1103259,CAUSED_BY,RCA-08,
INC1103615,IN_VALUE_STREAM,Item-MDM,
INC1103615,MATCHES_PATTERN,PAT-REV-SYNC,
INC1103615,CAUSED_BY,RCA-01,
INC1103759,IN_VALUE_STREAM,Item-MDM,
INC1103759,MATCHES_PATTERN,PAT-CCO,
INC1103759,CAUSED_BY,RCA-02,
INC1104004,IN_VALUE_STREAM,PTC,
INC1104004,MATCHES_PATTERN,PAT-OBLIG,
INC1104004,CAUSED_BY,RCA-13,
INC1104004,RECURRENCE_OF,INC809508,
INC1104293,IN_VALUE_STREAM,Item-MDM,
INC1104293,MATCHES_PATTERN,PAT-CCO,
INC1104293,CAUSED_BY,RCA-02,
INC1104587,IN_VALUE_STREAM,QTD,
INC1104587,MATCHES_PATTERN,PAT-PLANT,
INC1104587,CAUSED_BY,RCA-10,
INC1104922,IN_VALUE_STREAM,PTM,
INC1104922,MATCHES_PATTERN,PAT-RCV,
INC1104922,CAUSED_BY,RCA-05,
INC1104922,RECURRENCE_OF,INC806658,
INC1104990,IN_VALUE_STREAM,PTM,
INC1104990,MATCHES_PATTERN,PAT-RCV,
INC1104990,CAUSED_BY,RCA-05,
INC1104990,RECURRENCE_OF,INC873519,
INC1105184,IN_VALUE_STREAM,Item-MDM,
INC1105184,MATCHES_PATTERN,PAT-CCB-REV,
INC1105184,CAUSED_BY,RCA-03,
INC1105365,IN_VALUE_STREAM,QTD,
INC1105365,MATCHES_PATTERN,PAT-HOLD,
INC1105365,CAUSED_BY,RCA-04,
INC1105365,RECURRENCE_OF,INC803248,
INC1105532,IN_VALUE_STREAM,QTD,
INC1105532,MATCHES_PATTERN,PAT-DROPSHIP,
INC1105532,CAUSED_BY,RCA-12,
INC1105532,RECURRENCE_OF,INC860332,
INC1105817,IN_VALUE_STREAM,QTD,
INC1105817,MATCHES_PATTERN,PAT-HOLD,
INC1105817,CAUSED_BY,RCA-04,
INC1105817,RECURRENCE_OF,INC852386,
INC1106089,IN_VALUE_STREAM,Item-MDM,
INC1106089,MATCHES_PATTERN,PAT-CCO,
INC1106089,CAUSED_BY,RCA-02,
INC1106089,RECURRENCE_OF,INC857199,
INC1106440,IN_VALUE_STREAM,QTD,
INC1106440,MATCHES_PATTERN,PAT-PLANT,
INC1106440,CAUSED_BY,RCA-10,
INC1106549,IN_VALUE_STREAM,PTM,
INC1106549,MATCHES_PATTERN,PAT-BLUJAY,
INC1106549,CAUSED_BY,RCA-06,
INC1106870,IN_VALUE_STREAM,QTD,
INC1106870,MATCHES_PATTERN,PAT-CPQ,
INC1106870,CAUSED_BY,RCA-07,
INC1106928,IN_VALUE_STREAM,PTM,
INC1106928,MATCHES_PATTERN,PAT-APPTREE,
INC1106928,CAUSED_BY,RCA-08,
INC1106928,RECURRENCE_OF,INC881167,
INC1107233,IN_VALUE_STREAM,QTD,
INC1107233,MATCHES_PATTERN,PAT-HOLD,
INC1107233,CAUSED_BY,RCA-04,
INC1107481,IN_VALUE_STREAM,PTC,
INC1107481,MATCHES_PATTERN,PAT-OBLIG,
INC1107481,CAUSED_BY,RCA-13,
INC1107772,IN_VALUE_STREAM,QTD,
INC1107772,MATCHES_PATTERN,PAT-HOLD,
INC1107772,CAUSED_BY,RCA-04,
INC1107772,RECURRENCE_OF,INC866162,
INC1107822,IN_VALUE_STREAM,PTC,
INC1107822,MATCHES_PATTERN,PAT-OBLIG,
INC1107822,CAUSED_BY,RCA-13,
INC1107822,RECURRENCE_OF,INC835992,
INC1107865,IN_VALUE_STREAM,QTD,
INC1107865,MATCHES_PATTERN,PAT-HOLD,
INC1107865,CAUSED_BY,RCA-04,
INC1108070,IN_VALUE_STREAM,PTM,
INC1108070,MATCHES_PATTERN,PAT-BLUJAY,
INC1108070,CAUSED_BY,RCA-06,
INC1108095,IN_VALUE_STREAM,PTM,
INC1108095,MATCHES_PATTERN,PAT-BLUJAY,
INC1108095,CAUSED_BY,RCA-06,
INC1108148,IN_VALUE_STREAM,QTD,
INC1108148,MATCHES_PATTERN,PAT-DROPSHIP,
INC1108148,CAUSED_BY,RCA-12,
INC1108374,IN_VALUE_STREAM,Item-MDM,
INC1108374,MATCHES_PATTERN,PAT-CCB-REV,
INC1108374,CAUSED_BY,RCA-03,
INC1108374,RECURRENCE_OF,INC849692,
INC1108395,IN_VALUE_STREAM,Item-MDM,
INC1108395,MATCHES_PATTERN,PAT-CCO,
INC1108395,CAUSED_BY,RCA-02,
INC1108395,RECURRENCE_OF,INC832411,
INC1108773,IN_VALUE_STREAM,QTD,
INC1108773,MATCHES_PATTERN,PAT-HOLD,
INC1108773,CAUSED_BY,RCA-04,
INC1109137,IN_VALUE_STREAM,Item-MDM,
INC1109137,MATCHES_PATTERN,PAT-CCB-REV,
INC1109137,CAUSED_BY,RCA-03,
INC1109183,IN_VALUE_STREAM,QTD,
INC1109183,MATCHES_PATTERN,PAT-HOLD,
INC1109183,CAUSED_BY,RCA-04,
INC1109527,IN_VALUE_STREAM,PTM,
INC1109527,MATCHES_PATTERN,PAT-BLUJAY,
INC1109527,CAUSED_BY,RCA-06,
INC1109829,IN_VALUE_STREAM,PTM,
INC1109829,MATCHES_PATTERN,PAT-PEG,
INC1109829,CAUSED_BY,RCA-09,
INC1109829,RECURRENCE_OF,INC831963,
INC1110199,IN_VALUE_STREAM,QTD,
INC1110199,MATCHES_PATTERN,PAT-CPQ,
INC1110199,CAUSED_BY,RCA-07,
INC1110257,IN_VALUE_STREAM,Item-MDM,
INC1110257,MATCHES_PATTERN,PAT-REV-SYNC,
INC1110257,CAUSED_BY,RCA-01,
INC1110257,RECURRENCE_OF,INC858743,
INC1110448,IN_VALUE_STREAM,QTD,
INC1110448,MATCHES_PATTERN,PAT-CPQ,
INC1110448,CAUSED_BY,RCA-07,
INC1110448,RECURRENCE_OF,INC872140,
INC1110600,IN_VALUE_STREAM,PTM,
INC1110600,MATCHES_PATTERN,PAT-RCV,
INC1110600,CAUSED_BY,RCA-05,
INC1110634,IN_VALUE_STREAM,PTM,
INC1110634,MATCHES_PATTERN,PAT-PEG,
INC1110634,CAUSED_BY,RCA-09,
INC1110634,RECURRENCE_OF,INC816591,
INC1110774,IN_VALUE_STREAM,PTM,
INC1110774,MATCHES_PATTERN,PAT-RCV,
INC1110774,CAUSED_BY,RCA-05,
INC1110845,IN_VALUE_STREAM,Item-MDM,
INC1110845,MATCHES_PATTERN,PAT-CCO,
INC1110845,CAUSED_BY,RCA-02,
INC1110845,RECURRENCE_OF,INC811164,
INC1111173,IN_VALUE_STREAM,QTD,
INC1111173,MATCHES_PATTERN,PAT-CPQ,
INC1111173,CAUSED_BY,RCA-07,
INC1111173,RECURRENCE_OF,INC840026,
INC1111185,IN_VALUE_STREAM,PTC,
INC1111185,MATCHES_PATTERN,PAT-OBLIG,
INC1111185,CAUSED_BY,RCA-13,
INC1111516,IN_VALUE_STREAM,PTC,
INC1111516,MATCHES_PATTERN,PAT-OBLIG,
INC1111516,CAUSED_BY,RCA-13,
INC1111831,IN_VALUE_STREAM,QTD,
INC1111831,MATCHES_PATTERN,PAT-HOLD,
INC1111831,CAUSED_BY,RCA-04,
INC1112148,IN_VALUE_STREAM,QTD,
INC1112148,MATCHES_PATTERN,PAT-PLANT,
INC1112148,CAUSED_BY,RCA-10,
INC1112399,IN_VALUE_STREAM,PTC,
INC1112399,MATCHES_PATTERN,PAT-OBLIG,
INC1112399,CAUSED_BY,RCA-13,
INC1120063,IN_VALUE_STREAM,PTC,
INC1120063,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120063,CAUSED_BY,RCA-AR1,
INC1120106,IN_VALUE_STREAM,PTC,
INC1120106,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120106,CAUSED_BY,RCA-AR1,
INC1120187,IN_VALUE_STREAM,PTC,
INC1120187,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120187,CAUSED_BY,RCA-AR1,
INC1120305,IN_VALUE_STREAM,PTC,
INC1120305,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120305,CAUSED_BY,RCA-AR1,
INC1120365,IN_VALUE_STREAM,PTC,
INC1120365,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120365,CAUSED_BY,RCA-AR1,
INC1120450,IN_VALUE_STREAM,PTC,
INC1120450,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120450,CAUSED_BY,RCA-AR1,
INC1120450,RECURRENCE_OF,INC870592,
INC1120570,IN_VALUE_STREAM,PTC,
INC1120570,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120570,CAUSED_BY,RCA-AR1,
INC1120637,IN_VALUE_STREAM,PTC,
INC1120637,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120637,CAUSED_BY,RCA-AR1,
INC1120637,RECURRENCE_OF,INC818894,
INC1120757,IN_VALUE_STREAM,PTC,
INC1120757,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120757,CAUSED_BY,RCA-AR1,
INC1120757,RECURRENCE_OF,INC863956,
INC1120865,IN_VALUE_STREAM,PTC,
INC1120865,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120865,CAUSED_BY,RCA-AR1,
INC1120865,RECURRENCE_OF,INC821805,
INC1120963,IN_VALUE_STREAM,PTC,
INC1120963,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1120963,CAUSED_BY,RCA-AR1,
INC1121076,IN_VALUE_STREAM,PTC,
INC1121076,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1121076,CAUSED_BY,RCA-AR1,
INC1121076,RECURRENCE_OF,INC820706,
INC1121196,IN_VALUE_STREAM,PTC,
INC1121196,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1121196,CAUSED_BY,RCA-AR1,
INC1121196,RECURRENCE_OF,INC874963,
INC1121313,IN_VALUE_STREAM,PTC,
INC1121313,MATCHES_PATTERN,PAT-AR-AUTOINV,
INC1121313,CAUSED_BY,RCA-AR1,
INC1121313,RECURRENCE_OF,INC846179,
INC1140104,IN_VALUE_STREAM,PTP,
INC1140104,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140104,CAUSED_BY,RCA-AP3,
INC1140221,IN_VALUE_STREAM,PTP,
INC1140221,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140221,CAUSED_BY,RCA-AP1,
INC1140221,RECURRENCE_OF,INC844396,
INC1140333,IN_VALUE_STREAM,PTP,
INC1140333,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140333,CAUSED_BY,RCA-AP3,
INC1140404,IN_VALUE_STREAM,PTP,
INC1140404,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140404,CAUSED_BY,RCA-AP3,
INC1140404,RECURRENCE_OF,INC829015,
INC1140419,IN_VALUE_STREAM,PTP,
INC1140419,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140419,CAUSED_BY,RCA-AP3,
INC1140523,IN_VALUE_STREAM,PTP,
INC1140523,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140523,CAUSED_BY,RCA-AP1,
INC1140643,IN_VALUE_STREAM,PTP,
INC1140643,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140643,CAUSED_BY,RCA-AP3,
INC1140643,RECURRENCE_OF,INC884518,
INC1140735,IN_VALUE_STREAM,PTP,
INC1140735,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140735,CAUSED_BY,RCA-AP1,
INC1140775,IN_VALUE_STREAM,PTP,
INC1140775,MATCHES_PATTERN,PAT-AP-HOLD,
INC1140775,CAUSED_BY,RCA-AP2,
INC1140886,IN_VALUE_STREAM,PTP,
INC1140886,MATCHES_PATTERN,PAT-AP-HOLD,
INC1140886,CAUSED_BY,RCA-AP2,
INC1140962,IN_VALUE_STREAM,PTP,
INC1140962,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1140962,CAUSED_BY,RCA-AP3,
INC1140962,RECURRENCE_OF,INC880623,
INC1141035,IN_VALUE_STREAM,PTP,
INC1141035,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1141035,CAUSED_BY,RCA-AP3,
INC1141035,RECURRENCE_OF,INC819442,
INC1141104,IN_VALUE_STREAM,PTP,
INC1141104,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1141104,CAUSED_BY,RCA-AP3,
INC1141166,IN_VALUE_STREAM,PTP,
INC1141166,MATCHES_PATTERN,PAT-AP-IMPORT,
INC1141166,CAUSED_BY,RCA-AP3,
INC1141166,RECURRENCE_OF,INC887177,
